"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur
urn:lsid:tela-botanica.org:cel:3754822,3754822,"Vitex agnus-castus L. [1753]",72745,"Vitex agnus-castus L.",72745,Lamiaceae,bdtfx,certain,"observation de terrain",CEL,1,45.75636,4.84097,WGS84,France,Lyon,69123,précise,174,,,2021/04/25,"pelouse urbaine",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3755198,3755198,"Onopordum acanthium L. [1753]",44921,"Onopordum acanthium L. [1753]",44921,Asteraceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755199,3755199,"Populus tremula L. [1753]",52056,"Populus tremula L. [1753]",52056,Salicaceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755201,3755201,"Campanula portenschlagiana Schult. [1819]",12399,"Campanula portenschlagiana Schult. [1819]",12399,Campanulaceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3755201,"https://api.tela-botanica.org/img:002476321O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755202,3755202,"Sedum acre L. [1753]",75358,"Sedum acre L. [1753]",75358,Crassulaceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3755202,"https://api.tela-botanica.org/img:002476322O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755203,3755203,"Lamium purpureum L. [1753]",37538,"Lamium purpureum L. [1753]",37538,Lamiaceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755204,3755204,"Rorippa sylvestris (L.) Besser [1821]",75332,"Rorippa sylvestris (L.) Besser [1821]",75332,Brassicaceae,bdtfx,certain,"observation de terrain",widget,1,45.60589,4.70906,WGS84,FR,Beauvallon,69179,précise,285,,,2021/04/27,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3755204,"https://api.tela-botanica.org/img:002476324O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755312,3755312,"Iris pseudacorus L. [1753]",35960,"Iris pseudacorus L. [1753]",35960,Iridaceae,bdtfx,certain,"observation de terrain",widget,1,45.64198,4.69068,WGS84,FR,Saint-Laurent-d'Agny,69219,précise,391,,Etang,2021/04/27,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3755312,"https://api.tela-botanica.org/img:002476501O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755447,3755447,"Melampyrum arvense L. [1753]",41577,"Melampyrum arvense L. [1753]",41577,Orobanchaceae,bdtfx,certain,"observation de terrain",widget,1,45.60093,4.73768,WGS84,FR,Beauvallon,69179,précise,228,,Bois,2021/04/28,,,"Bota10km, Rural10km, Projets coopératifs, ",www.tela-botanica.org/appli:identiplante#obs~3755447,"https://api.tela-botanica.org/img:002476761O,","Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755448,3755448,"Ajuga reptans L. [1753]",2407,"Ajuga reptans L. [1753]",2407,Lamiaceae,bdtfx,certain,"observation de terrain",widget,1,45.60093,4.73768,WGS84,FR,Beauvallon,69179,précise,228,,Bois,2021/04/28,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
urn:lsid:tela-botanica.org:cel:3755449,3755449,"Phyteuma spicatum L. [1753]",49275,"Phyteuma spicatum L. [1753]",49275,Campanulaceae,bdtfx,certain,"observation de terrain",widget,1,45.60093,4.73768,WGS84,FR,Beauvallon,69179,précise,228,,Bois,2021/04/28,,,,,,"Laurence Loudenot  (http://www.tela-botanica.org/profil:40270)"
